beneficiary_id,first_name,last_name,date_of_birth,gender,civil_status,education_level,family_size,monthly_income_before,employment_status_before,is_pantawid_beneficiary,is_indigenous,has_disability,household_head,barangay_name,district,program_name,program_type,duration_months,enrollment_date,completion_date,status,attendance_rate,pre_assessment_score,post_assessment_score,employment_outcome,monthly_income_after,success_score,completion_rate,employment_rate,skill_improvement
B300,Linda,Fernandez,1988-02-14,Female,Single,High School,3,7200,unemployed,1,0,0,0,Holy Spirit,2,Computer Literacy Training,skills_training,4,2025-01-10,2025-05-10,completed,91.0,58,82,employed,16500,84.2,91,89,24
B301,Ricardo,Villanueva,1992-07-08,Male,Married,Vocational,5,5800,unemployed,1,1,0,1,Payatas,2,Motorcycle Repair Workshop,skills_training,3,2025-02-12,2025-05-12,completed,87.5,52,79,self_employed,13800,81.5,87,86,27
B302,Maricel,Gonzalez,1990-11-19,Female,Widowed,Elementary,4,4200,unemployed,1,0,1,1,Batasan Hills,2,Beauty Care Services,skills_training,5,2025-03-05,,active,79.0,46,71,self_employed,9800,75.8,79,82,25
B303,Eduardo,Reyes,1985-09-23,Male,Separated,College,2,14500,underemployed,0,0,0,0,Commonwealth,2,Digital Marketing Course,employment_facilitation,3,2025-01-20,2025-04-20,completed,93.5,76,96,employed,22000,95.1,93,97,20
B304,Teresa,Cabrera,1994-04-16,Female,Single,Senior High,1,8700,employed,0,0,0,0,Bagong Silangan,2,Tailoring Business Setup,entrepreneurship,6,2025-02-28,,active,86.0,61,78,business_started,12400,82.3,86,84,17
B305,Armando,Pascual,1987-12-02,Male,Married,High School,6,6300,unemployed,1,0,0,1,San Antonio,3,Electrical Installation,skills_training,4,2025-01-15,2025-05-15,completed,88.0,54,81,employed,17200,85.7,88,90,27
B306,Norma,Santiago,1991-06-11,Female,Single,Vocational,2,10200,underemployed,0,1,0,0,Del Monte,3,Office Administration,employment_facilitation,2,2025-03-08,2025-05-08,completed,92.0,68,89,employed,19500,91.8,92,94,21
B307,Raul,Mendoza,1989-01-27,Male,Married,Elementary,7,3800,unemployed,1,1,1,1,Kamuning,3,Carpentry Workshop,skills_training,5,2025-02-18,,active,74.5,41,65,self_employed,11200,73.2,74,78,24
B308,Corazon,Dela Rosa,1986-08-05,Female,Separated,Senior High,3,9100,employed,0,0,0,1,Laging Handa,3,Catering Services,microenterprise,4,2025-01-25,,active,82.0,57,74,business_started,13600,79.5,82,85,17
B309,Benjamin,Cruz,1993-05-30,Male,Single,College,1,11800,employed,0,0,1,0,Malaya,3,Web Development Bootcamp,employment_facilitation,6,2025-04-01,,enrolled,0,71,,unemployed,11800,72.5,0,0,0
B310,Lydia,Aquino,1988-10-13,Female,Married,High School,4,5600,unemployed,1,0,0,1,Marilag,3,Food Processing,skills_training,3,2025-02-03,2025-05-03,completed,89.5,49,76,employed,14800,83.1,89,87,27
B311,Domingo,Santos,1984-03-21,Male,Widowed,Vocational,5,7900,underemployed,0,1,0,1,Masambong,3,Welding Certification,skills_training,4,2025-01-12,2025-05-12,completed,85.0,56,83,employed,18600,86.8,85,91,27
B312,Remedios,Garcia,1992-07-17,Female,Single,Elementary,2,6800,unemployed,1,0,1,0,Obrero,3,Handicraft Production,microenterprise,5,2025-03-15,,active,78.5,43,68,self_employed,10400,76.2,78,81,25
B313,Gregorio,Torres,1990-12-08,Male,Married,Senior High,6,8400,employed,0,0,0,1,Old Balara,3,Plumbing Services,entrepreneurship,3,2025-02-10,2025-05-10,completed,90.0,59,84,business_started,15700,87.4,90,88,25
B314,Angelita,Flores,1987-04-25,Female,Separated,High School,3,7600,unemployed,1,1,0,1,Paang Bundok,3,Laundry Shop Management,microenterprise,4,2025-01-28,,active,83.5,51,72,self_employed,11900,81.0,83,85,21
B315,Perfecto,Rivera,1985-11-14,Male,Single,College,2,13200,underemployed,0,0,0,0,Pag-ibig sa Nayon,3,Data Entry Specialist,employment_facilitation,2,2025-03-20,2025-05-20,completed,94.0,73,94,employed,20800,95.3,94,96,21
B316,Natividad,Morales,1993-09-06,Female,Married,Vocational,4,5200,unemployed,1,0,1,1,Pinagkaisahan,3,Baking and Pastry,skills_training,5,2025-02-22,,active,80.0,47,69,self_employed,12800,78.8,80,83,22
B317,Cesar,Valdez,1989-01-12,Male,Widowed,Elementary,8,4600,unemployed,1,1,0,1,Roxas,3,Vegetable Farming,microenterprise,6,2025-01-08,,active,76.0,38,62,self_employed,9600,74.5,76,79,24
B318,Milagros,Castro,1991-08-29,Female,Single,Senior High,1,9800,employed,0,0,0,0,Sacred Heart,3,Graphic Design Course,employment_facilitation,4,2025-04-12,,enrolled,0,66,,unemployed,9800,69.8,0,0,0
B319,Rodrigo,Herrera,1986-06-07,Male,Married,High School,5,6900,unemployed,1,0,0,1,San Isidro Labrador,3,Auto Detailing Service,entrepreneurship,3,2025-02-14,2025-05-14,completed,88.5,53,80,business_started,14300,84.9,88,86,27
B320,Esperanza,Aguilar,1994-03-18,Female,Separated,Vocational,3,8100,underemployed,0,1,1,1,San Jose,3,Massage Therapy,skills_training,4,2025-01-30,2025-05-30,completed,92.5,64,87,employed,16800,89.2,92,91,23
